pose,hand,n_frames,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
thumbs_up,left,73,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041138,-0.016740,-0.044010,0.053192,-0.025415,-0.072197,0.052621,-0.034929,-0.093264,0.020170,0.003226,-0.081594,0.020183,-0.033691,-0.081751,0.018297,-0.033783,-0.060198,0.017100,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.033815,-0.105001,0.000000,-0.044885,-0.084299,0.000000,-0.041099,-0.065015,-0.017000,0.001900,-0.076400,-0.019493,-0.035543,-0.096465,-0.016981,-0.044078,-0.076248,-0.015014,-0.036332,-0.060410,-0.033100,-0.003774,-0.068300,-0.039681,-0.030702,-0.085772,-0.037444,-0.041744,-0.073431,-0.033882,-0.037409,-0.060732
thumbs_up,right,72,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.039360,-0.020131,-0.044221,-0.043690,-0.034341,-0.072405,-0.031605,-0.046354,-0.088034,-0.020170,0.003226,-0.081594,-0.020393,-0.033604,-0.084122,-0.018490,-0.035091,-0.062622,-0.017210,-0.023315,-0.048166,0.000000,0.003975,-0.081300,0.000000,-0.032737,-0.106638,0.000000,-0.045143,-0.086707,0.000000,-0.042690,-0.067209,0.017000,0.001900,-0.076400,0.018104,-0.039531,-0.086049,0.015597,-0.040807,-0.064141,0.014212,-0.027907,-0.052042,0.033100,-0.003774,-0.068300,0.036905,-0.034736,-0.078329,0.033653,-0.040636,-0.063037,0.030939,-0.031151,-0.053269
