pose,take,hand,wall_time,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
peace,1,left,1782948438.8367572,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039482,-0.024902,-0.041729,0.035018,-0.044666,-0.066315,0.013560,-0.051823,-0.071109,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.037939,-0.033552,-0.081089,-0.035210,-0.041307,-0.066541,-0.032226,-0.033379,-0.055543
peace,1,right,1782948438.8475797,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037881,-0.026362,-0.041796,-0.028375,-0.046981,-0.064146,-0.005559,-0.050705,-0.063695,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018540,-0.038724,-0.088976,0.015882,-0.041833,-0.067271,0.014271,-0.030038,-0.054116,0.033100,-0.003774,-0.068300,0.036885,-0.034755,-0.078277,0.033633,-0.040621,-0.062972,0.030928,-0.031110,-0.053227
peace,1,left,1782948439.0452714,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039610,-0.024602,-0.041832,0.035923,-0.044129,-0.066734,0.014884,-0.051888,-0.072376,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.038173,-0.033237,-0.081714,-0.035488,-0.041425,-0.067398,-0.032416,-0.033904,-0.056140
peace,1,right,1782948439.0562625,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037881,-0.026362,-0.041796,-0.028375,-0.046981,-0.064146,-0.005559,-0.050705,-0.063695,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018540,-0.038724,-0.088976,0.015882,-0.041833,-0.067271,0.014271,-0.030038,-0.054116,0.033100,-0.003774,-0.068300,0.036885,-0.034755,-0.078277,0.033633,-0.040621,-0.062972,0.030928,-0.031110,-0.053227
peace,1,left,1782948439.2496967,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039610,-0.024602,-0.041832,0.035923,-0.044129,-0.066734,0.014884,-0.051888,-0.072376,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.038250,-0.033127,-0.081922,-0.035582,-0.041462,-0.067687,-0.032480,-0.034081,-0.056345
peace,1,right,1782948439.261554,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037881,-0.026362,-0.041796,-0.028375,-0.046981,-0.064146,-0.005559,-0.050705,-0.063695,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018540,-0.038724,-0.088976,0.015882,-0.041833,-0.067271,0.014271,-0.030038,-0.054116,0.033100,-0.003774,-0.068300,0.036943,-0.034698,-0.078432,0.033692,-0.040667,-0.063168,0.030961,-0.031235,-0.053354
peace,1,left,1782948439.4697688,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039610,-0.024602,-0.041832,0.035923,-0.044129,-0.066734,0.014884,-0.051888,-0.072376,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020175,-0.033122,-0.100362,-0.017712,-0.044795,-0.081773,-0.015470,-0.039969,-0.064849,-0.033100,-0.003774,-0.068300,-0.038405,-0.032904,-0.082336,-0.035771,-0.041527,-0.068268,-0.032612,-0.034432,-0.056761
peace,1,right,1782948439.4700575,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037886,-0.026317,-0.041826,-0.028485,-0.046918,-0.064237,-0.005686,-0.050760,-0.063894,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018540,-0.038724,-0.088976,0.015882,-0.041833,-0.067271,0.014271,-0.030038,-0.054116,0.033100,-0.003774,-0.068300,0.037002,-0.034639,-0.078587,0.033752,-0.040712,-0.063363,0.030994,-0.031359,-0.053482
peace,1,right,1782948439.6701212,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037886,-0.026317,-0.041826,-0.028485,-0.046918,-0.064237,-0.005686,-0.050760,-0.063894,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018540,-0.038724,-0.088976,0.015882,-0.041833,-0.067271,0.014271,-0.030038,-0.054116,0.033100,-0.003774,-0.068300,0.037002,-0.034639,-0.078587,0.033752,-0.040712,-0.063363,0.030994,-0.031359,-0.053482
peace,1,left,1782948439.683044,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039610,-0.024602,-0.041832,0.035923,-0.044129,-0.066734,0.014884,-0.051888,-0.072376,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020175,-0.033122,-0.100362,-0.017712,-0.044795,-0.081773,-0.015470,-0.039969,-0.064849,-0.033100,-0.003774,-0.068300,-0.038405,-0.032904,-0.082336,-0.035771,-0.041527,-0.068268,-0.032612,-0.034432,-0.056761
peace,1,left,1782948439.8879762,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039678,-0.024435,-0.041890,0.036416,-0.043822,-0.066959,0.015629,-0.051899,-0.073069,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020175,-0.033122,-0.100362,-0.017712,-0.044795,-0.081773,-0.015470,-0.039969,-0.064849,-0.033100,-0.003774,-0.068300,-0.038751,-0.032372,-0.083264,-0.036203,-0.041646,-0.069599,-0.032923,-0.035226,-0.057735
peace,1,right,1782948439.900455,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037908,-0.026134,-0.041944,-0.028933,-0.046655,-0.064601,-0.006217,-0.050968,-0.064708,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018600,-0.038602,-0.089356,0.015924,-0.041963,-0.067690,0.014283,-0.030331,-0.054395,0.033100,-0.003774,-0.068300,0.037138,-0.034498,-0.078951,0.033894,-0.040816,-0.063827,0.031074,-0.031654,-0.053785
peace,1,left,1782948440.0880744,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039744,-0.024265,-0.041947,0.036909,-0.043506,-0.067182,0.016390,-0.051893,-0.073762,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020175,-0.033122,-0.100362,-0.017712,-0.044795,-0.081773,-0.015470,-0.039969,-0.064849,-0.033100,-0.003774,-0.068300,-0.038978,-0.031997,-0.083876,-0.036496,-0.041702,-0.070502,-0.033140,-0.035755,-0.058415
peace,1,right,1782948440.1098652,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037908,-0.026134,-0.041944,-0.028933,-0.046655,-0.064601,-0.006217,-0.050968,-0.064708,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018600,-0.038602,-0.089356,0.015924,-0.041963,-0.067690,0.014283,-0.030331,-0.054395,0.033100,-0.003774,-0.068300,0.037470,-0.034131,-0.079836,0.034245,-0.041050,-0.064972,0.031276,-0.032375,-0.054547
peace,1,left,1782948440.2960799,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039788,-0.024151,-0.041986,0.037236,-0.043289,-0.067329,0.016906,-0.051879,-0.074223,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020175,-0.033122,-0.100362,-0.017712,-0.044795,-0.081773,-0.015470,-0.039969,-0.064849,-0.033100,-0.003774,-0.068300,-0.039072,-0.031836,-0.084130,-0.036619,-0.041719,-0.070882,-0.033233,-0.035975,-0.058705
peace,1,right,1782948440.3185413,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037921,-0.026040,-0.042003,-0.029164,-0.046517,-0.064785,-0.006496,-0.051067,-0.065126,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018723,-0.038344,-0.090121,0.016014,-0.042223,-0.068546,0.014309,-0.030932,-0.054968,0.033100,-0.003774,-0.068300,0.037764,-0.033777,-0.080620,0.034565,-0.041236,-0.066014,0.031467,-0.033027,-0.055254
peace,1,left,1782948440.5053153,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039901,-0.023842,-0.042091,0.038108,-0.042690,-0.067714,0.018314,-0.051799,-0.075452,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020175,-0.033122,-0.100362,-0.017712,-0.044795,-0.081773,-0.015470,-0.039969,-0.064849,-0.033100,-0.003774,-0.068300,-0.039241,-0.031538,-0.084583,-0.036842,-0.041742,-0.071570,-0.033403,-0.036370,-0.059239
peace,1,right,1782948440.5405188,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037937,-0.025921,-0.042076,-0.029457,-0.046339,-0.065016,-0.006857,-0.051183,-0.065656,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018723,-0.038344,-0.090121,0.016014,-0.042223,-0.068546,0.014309,-0.030932,-0.054968,0.033100,-0.003774,-0.068300,0.038173,-0.033237,-0.081714,0.035028,-0.041454,-0.067508,0.031755,-0.033945,-0.056299
peace,1,left,1782948440.7074044,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039956,-0.023686,-0.042143,0.038542,-0.042380,-0.067903,0.019035,-0.051736,-0.076063,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.039463,-0.031128,-0.085182,-0.037141,-0.041754,-0.072496,-0.033639,-0.036893,-0.059973
peace,1,right,1782948440.7422662,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037948,-0.025849,-0.042120,-0.029635,-0.046229,-0.065154,-0.007079,-0.051250,-0.065976,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018723,-0.038344,-0.090121,0.016014,-0.042223,-0.068546,0.014309,-0.030932,-0.054968,0.033100,-0.003774,-0.068300,0.038173,-0.033237,-0.081714,0.035028,-0.041454,-0.067508,0.031755,-0.033945,-0.056299
peace,1,left,1782948440.9154186,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039982,-0.023607,-0.042170,0.038758,-0.042221,-0.067996,0.019400,-0.051698,-0.076368,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.039536,-0.030988,-0.085379,-0.037242,-0.041753,-0.072806,-0.033719,-0.037064,-0.060223
